gutenberg_id,text,author
815,DEMOCRACY IN AMERICA,"Tocqueville, Alexis de"
815,,"Tocqueville, Alexis de"
815,By Alexis De Tocqueville,"Tocqueville, Alexis de"
815,,"Tocqueville, Alexis de"
815,,"Tocqueville, Alexis de"
815,Translated by Henry Reeve,"Tocqueville, Alexis de"
815,,"Tocqueville, Alexis de"
815,,"Tocqueville, Alexis de"
815,,"Tocqueville, Alexis de"
815,,"Tocqueville, Alexis de"
815,Book One,"Tocqueville, Alexis de"
815,,"Tocqueville, Alexis de"
815,,"Tocqueville, Alexis de"
815,Introduction,"Tocqueville, Alexis de"
815,,"Tocqueville, Alexis de"
815,Special Introduction By Hon. John T. Morgan,"Tocqueville, Alexis de"
815,,"Tocqueville, Alexis de"
815,In the eleven years that separated the Declaration of the Independence,"Tocqueville, Alexis de"
815,of the United States from the completion of that act in the ordination,"Tocqueville, Alexis de"
815,"of our written Constitution, the great minds of America were bent upon","Tocqueville, Alexis de"
815,the study of the principles of government that were essential to the,"Tocqueville, Alexis de"
815,preservation of the liberties which had been won at great cost and with,"Tocqueville, Alexis de"
815,heroic labors and sacrifices. Their studies were conducted in view of,"Tocqueville, Alexis de"
815,the imperfections that experience had developed in the government of the,"Tocqueville, Alexis de"
815,"Confederation, and they were, therefore, practical and thorough.","Tocqueville, Alexis de"
815,,"Tocqueville, Alexis de"
815,"When the Constitution was thus perfected and established, a new form of","Tocqueville, Alexis de"
815,"government was created, but it was neither speculative nor experimental","Tocqueville, Alexis de"
815,as to the principles on which it was based. If they were true,"Tocqueville, Alexis de"
815,"principles, as they were, the government founded upon them was destined","Tocqueville, Alexis de"
815,to a life and an influence that would continue while the liberties it,"Tocqueville, Alexis de"
815,was intended to preserve should be valued by the human family. Those,"Tocqueville, Alexis de"
815,"liberties had been wrung from reluctant monarchs in many contests,","Tocqueville, Alexis de"
815,"in many countries, and were grouped into creeds and established in","Tocqueville, Alexis de"
815,"ordinances sealed with blood, in many great struggles of the people.","Tocqueville, Alexis de"
815,"They were not new to the people. They were consecrated theories, but","Tocqueville, Alexis de"
815,no government had been previously established for the great purpose of,"Tocqueville, Alexis de"
815,their preservation and enforcement. That which was experimental in our,"Tocqueville, Alexis de"
815,plan of government was the question whether democratic rule could be so,"Tocqueville, Alexis de"
815,organized and conducted that it would not degenerate into license and,"Tocqueville, Alexis de"
815,"result in the tyranny of absolutism, without saving to the people the","Tocqueville, Alexis de"
815,"power so often found necessary of repressing or destroying their enemy,","Tocqueville, Alexis de"
815,when he was found in the person of a single despot.,"Tocqueville, Alexis de"
815,,"Tocqueville, Alexis de"
815,"When, in 1831, Alexis de Tocqueville came to study Democracy in America,","Tocqueville, Alexis de"
815,the trial of nearly a half-century of the working of our system had been,"Tocqueville, Alexis de"
815,"made, and it had been proved, by many crucial tests, to be a government","Tocqueville, Alexis de"
815,"of ""liberty regulated by law,"" with such results in the development of","Tocqueville, Alexis de"
815,"strength, in population, wealth, and military and commercial power, as","Tocqueville, Alexis de"
815,no age had ever witnessed.,"Tocqueville, Alexis de"
815,,"Tocqueville, Alexis de"
815,[See Alexis De Tocqueville],"Tocqueville, Alexis de"
815,,"Tocqueville, Alexis de"
815,"De Tocqueville had a special inquiry to prosecute, in his visit to","Tocqueville, Alexis de"
815,"America, in which his generous and faithful soul and the powers of his","Tocqueville, Alexis de"
815,great intellect were engaged in the patriotic effort to secure to the,"Tocqueville, Alexis de"
815,people of France the blessings that Democracy in America had ordained,"Tocqueville, Alexis de"
815,and established throughout nearly the entire Western Hemisphere. He had,"Tocqueville, Alexis de"
815,"read the story of the French Revolution, much of which had been recently","Tocqueville, Alexis de"
815,written in the blood of men and women of great distinction who were,"Tocqueville, Alexis de"
815,his progenitors; and had witnessed the agitations and terrors of the,"Tocqueville, Alexis de"
815,"Restoration and of the Second Republic, fruitful in crime and sacrifice,","Tocqueville, Alexis de"
